Model_ID,Brand,Model_Title,Device,Model_Price,Field_ID,Field_Title,Field_Item_ID,Field_Item_Title,Field_Item_Price
24,Apple,iPhone XR,iPhones,100,1323,What is the condition of the phone?,4195,Brand New,50
,,,,,,,4196,Flawless,40
,,,,,,,4197,Good,30
,,,,,,,4198,Fair,20
,,,,,,,4199,Broken,10
,,,,,1324,Please select the phone's carrier,4200,AT&T,0
,,,,,,,4201,Verizon,0
,,,,,,,4202,Sprint,0
,,,,,,,4203,T-Mobile,0
,,,,,,,4204,Unlocked,0
,,,,,,,4205,Other Carrier,0
,,,,,1325,What is the phone's storage capacity?,4206,64GB,10
,,,,,,,4207,128GB,20
,,,,,,,4208,256GB,30
,,,,,1326,What accessories will be included?,4209,Original Box,1
,,,,,,,4210,New Original Headsets,1
,,,,,,,4211,Powercable + Adapter,1
,,,,,1327,Test 1,,,
,,,,,1328,Test 1,4212,Option 1,0
,,,,,,,4213,Option 2,0
,,,,,1329,Test 2,4214,Option 1,10
,,,,,,,4215,Option 2,15
,,,,,1330,Test 2,4216,Option 1,5
,,,,,,,4217,Option 2,7
25,Apple,iMac Retina 27,MacBook,1,1164,Select the iMac's model year,3752,Late 2014,10
,,,,,,,3753,Mid 2015,0
26,Apple,Apple Watch (Series 4),Apple Watch,200,1232,What type of Apple Watch do you have?,3969,Series 4 GPS,10
,,,,,,,3970,Series 4 GPS + Cellular,20
,,,,,1233,What case material is your Watch?,3971,Aluminum,10
,,,,,,,3972,Stainless Steel,20
,,,,,1234,What is the size of your Watch?,3973,40MM,10
,,,,,,,3974,44MM,20
,,,,,1235,What is the condition of the Watch?,3975,Brand New,10
,,,,,,,3976,Flawless,20
,,,,,,,3977,Good,30
,,,,,,,3978,Fair,40
,,,,,,,3979,Broken,50
27,,iPad Mini (5th Gen.),Ipad,250,647,Please select the iPad's carrier,2309,WiFi Only,10
,,,,,,,2310,WiFi + Cellular,20
,,,,,648,What is the iPad's capacity?,2311,64GB,10
,,,,,,,2312,256GB,20
,,,,,649,What is the condition of the iPad?,2313,Brand New,10
,,,,,,,2314,Excellent,20
,,,,,,,2315,Good,30
,,,,,,,2316,Fair,40
,,,,,,,2317,Broken,50
28,,Mac Mini (2018),Mac mini,120,654,How do I determine my Mac's processor?,2335,3.6GHz Intel Core i3,10
,,,,,,,2336,3.0GHz Intel Core i5,10
,,,,,,,2337,3.2GHz Intel Core i7,0
,,,,,655,Select the memory capacity,2338,8GB RAM,10
,,,,,,,2339,16GB RAM,10
,,,,,,,2340,32GB RAM,20
,,,,,,,2341,64GB RAM,20
,,,,,656,What is the hard drive capacity?,2342,128GB SSD,10
,,,,,,,2343,256GB SSD,10
,,,,,,,2344,512GB SSD,10
,,,,,,,2345,1TB SSD,20
,,,,,,,2346,2TB SSD,20
,,,,,657,What is the condition of the device?,2347,Brand New,10
,,,,,,,2348,Excellent,10
,,,,,,,2349,Good,10
,,,,,,,2350,Fair,10
,,,,,,,2351,Broken,10
29,,iPad (6th Gen.),Ipad,220,664,Please select the iPad type,2363,WiFi Only,10
,,,,,,,2364,WiFi + Cellular,20
,,,,,665,What is the iPad's capacity?,2365,32GB,0
,,,,,,,2366,64GB,0
,,,,,666,What is the condition of the iPad?,2367,Brand New,10
,,,,,,,2368,Flawless,10
,,,,,,,2369,Good,10
,,,,,,,2370,Fair,10
,,,,,,,2371,Broken,10
31,,erwr,MacBook,111,692,Select the laptop's model year,2446,"Early 2015 (MacBook8,1)",10
,,,,,,,2447,"Early 2016 (MacBook9,1)",10
,,,,,,,2448,"2017 (MacBook10,1)",10
,,,,,693,What is the laptop's processor speed?,2449,Core m3 1.2GHz,10
,,,,,,,2450,Intel Core i5 1.3GHz,10
,,,,,,,2451,Intel Core i7 1.4GHz,10
,,,,,694,What is the condition of your MacBook?,2452,Brand New,10
,,,,,,,2453,Flawless,10
,,,,,,,2454,Good,10
,,,,,,,2455,Fair,10
,,,,,,,2456,Broken,10
,,,,,695,What is the MacBook's hard drive capacity?,2457,256GB,0
,,,,,,,2458,512GB,0
,,,,,696,What is the laptop's memory capacity?,2459,8GB,10
,,,,,,,2460,16GB,10
,,,,,697,Is the MacBook fully functional?,2461,Yes,10
,,,,,,,2462,No,10
,,,,,698,Will you be including the charger?,2463,Yes,10
,,,,,,,2464,No,10
32,,Galaxy S10 Plus,Android,680,726,Please select the phone's carrier,2564,AT & T,10
,,,,,,,2565,Sprint,10
,,,,,,,2566,T-Mobile,10
,,,,,,,2567,Verizon,10
,,,,,,,2568,Unlocked,10
,,,,,,,2569,Other Carrier,10
,,,,,727,Select the phone's color,2570,Prism White,10
,,,,,,,2571,Prism Black,10
,,,,,,,2572,Prism Blue,10
,,,,,,,2573,Flamingo Pink,10
