ID,Icon,Title,"Base Price","Added Date"
1,20180322211601.png,"iPhone X - A1865 A1901 A1902",10000,"2018-02-14 07:28:26"
20,20180315195741.png,"iPhone 8 Plus A1864 A1897 A1898",100,"2018-02-17 03:20:16"
21,20180217044811.png,"Galaxy S8+",0,"2018-02-17 03:48:11"
22,20180217061307.png,"iPad Pro 10.5",0,"2018-02-17 05:13:07"
23,20180217061542.png,"iPad Pro 12.9",0,"2018-02-17 05:15:42"
24,20180217061646.png,"iPad 4",0,"2018-02-17 05:16:46"
25,20180319165547.png,"iPhone 8 A1863 A1905 A1906",0,"2018-03-19 16:55:47"
26,20180319165801.png,"iPhone 7 Plus A1661 A1784 A1785",0,"2018-03-19 16:58:01"
27,20180319165912.png,"iPhone 7 A1660 A1778 A1779",0,"2018-03-19 16:59:12"
28,20180319170018.png,"iPhone 6S Plus A1634 A1687 A1699",0,"2018-03-19 17:00:18"
29,20180324221123.png,"iPhone 6S - A1633 A1688 A1700",0,"2018-03-23 01:54:29"
30,20180324221515.png,"iPhone 6 - A1549 A1586 A1589 ",0,"2018-03-23 01:57:23"
31,20180324221851.png,"iPhone 6 Plus - A1522 A1524 A1593",0,"2018-03-23 01:58:27"
32,20180324222329.png,"iPhone 5SE - A1662 A1726 A1724",0,"2018-03-23 01:59:24"
33,20180324222615.png,"iPhone 5S Repair - A1533 A1453",0,"2018-03-23 02:00:15"
34,20180324222840.png,"iPhone 5C - A1532 A1456",0,"2018-03-23 02:01:13"
35,20180324223146.png,"iPhone 5 - A1428 A1429",0,"2018-03-23 02:01:59"
36,20180324223448.png,"iPhone 4S - A1387",0,"2018-03-23 02:02:37"
37,20180324223815.png,"Samsng S8 Plus - G955",0,"2018-03-23 02:04:45"
38,20180324224111.png,"Samsung S8 - G950",0,"2018-03-23 02:06:45"
39,20180324224328.png,"Samsung S7 Edge - G935",0,"2018-03-23 02:07:59"
40,20180324224615.png,"Samsung S7 - G930",0,"2018-03-23 02:08:40"
41,20180324225050.png,"Samsung S6 Edge Plus - G928",0,"2018-03-23 02:09:55"
42,20180324225619.png,"Samsung S6 Edge - G925",0,"2018-03-23 02:10:56"
43,20180324225842.png,"Samsung S5 - G900",0,"2018-03-23 02:11:58"
44,20180324232904.png,"Samsung Note 8 - SM-950",100,"2018-03-23 02:13:11"
45,20180324233052.png,"Samsung Note 5 - SM-920",100,"2018-03-23 02:15:01"
46,20180324233317.png,"Samsung Note 4 - SM-N910",100,"2018-03-23 02:16:38"
47,20180324233527.png,"Samsung Note 3 - SM-900",100,"2018-03-23 02:18:17"
48,20180324230334.png,"iPad Air 2 - A1566 A1567",100,"2018-03-23 02:19:50"
49,20180324230638.png,"Ipad Test Demo",100,"2018-03-23 02:24:34"
50,20180324233850.png,"iPad Mini 4G - A1538 A1550",100,"2018-03-23 02:29:34"
51,20180324234132.png,"iPad Mini 3G - A1599 A1600 A1601",100,"2018-03-23 02:30:37"
52,20180324234406.png,"iPad Mini 2G - A1489 A1490 A1491",1000,"2018-03-23 02:31:25"
53,20180324234606.png,"iPad Mini 1G",1000,"2018-03-23 02:32:10"
54,20180324232508.png,"LG G6 Repair",100,"2018-03-23 02:38:55"
55,20180324232310.png,"LG G5",100,"2018-03-23 02:39:26"
56,20180324231854.png,"LG G4 Repair",100,"2018-03-23 02:40:14"
57,20180324231114.png,"LG G3 Repair",100,"2018-03-23 02:41:01"
58,20180324230902.png,"LG G2 Repair",100,"2018-03-23 02:41:35"
59,20180329083904.jpeg,"Samsung 59 cm (24 inch) HD Ready LED TV  (24K4100)",11999,"2018-03-29 21:39:04"
60,20180330054141.jpeg,"LG 80 cm (32 inch) HD Ready LED Smart TV  (KLV-32W512D)",27999,"2018-03-30 18:41:41"
61,20180407080638.jpg,"Sonata Mens Analogue Watch - 77031YL01J",2500,"2018-04-06 22:25:32"
62,,samsung,10,"2018-10-16 20:35:39"
70,20180322211601.png,"iPhone X - A1865 A1901 A1902 - Copy",10000,"2018-02-14 07:28:26"
