Model_ID,Model_Icon,Model_Title,Model_Price,Field_ID,Field_Title,Field_Item_ID,Field_Item_Title,Field_Item_Price
1,20180322211601.png,"iPhone X - A1865 A1901 A1902",10000,1226,"battery replacement",3581,"Option 1",10
,,,,,,3582,"option 22",22
,,,,1227,"iPhone X Repair Options",3583,"Front Display Screen Replacement",399
,,,,,,3584,"Battery1 Replacement",198
,,,,,,3585,"Multiple Issues",0
,,,,,,3586,"Water Damage Diagnose",0
,,,,,,3587,dfsdfsd,12
,,,,,,3588,"Back Glass Replacement",499
,,,,1228,"What color is your iPhone X?",3589,Gold,0
,,,,,,3590,Silver,0
,,,,,,3591,"Space Grey",0
,,,,1229,Checkboxes,3592,"Option 1",10
,,,,,,3593,"Option 2",15
,,,,,,3594,"Option 3",20
,,,,1232,"radio 2",3595,"Option 1",2
,,,,,,3596,"Option 2",3
,,,,1233,drodown,3597,"test 1",20.5
,,,,,,3598,"test 2",60.69
20,20180315195741.png,"iPhone 8 Plus A1864 A1897 A1898",100,529,"iPhone 8+ repair",1918,"Screen broken and/or LCD defective",99
,,,,,,1919,"Replace backcover",99
,,,,,,1920,"Replace dock connector (charge/microphone)",99
,,,,,,1921,"Replace earspeaker",99
,,,,,,1922,"Replace speaker",99
,,,,,,1923,"Replace home button",99
,,,,,,1924,"Replace button (power, volume, mute)",99
,,,,,,1925,"Replace camera front",99
,,,,,,1926,"Replace camera back",99
,,,,,,1927,"Replace vibration motor",99
,,,,,,1928,"Replace battery",99
,,,,530,"What color is your iPhone 8+?",1929,"Space Grey",0
,,,,,,1930,Silver,0
,,,,,,1931,Gold,0
21,20180217044811.png,"Galaxy S8+",0,531,"Selection One Option",1932,"Screen broken and/or LCD defective",3900
,,,,,,1933,"Replace backcover",8500
,,,,,,1934,"Replace front camera",8500
,,,,,,1935,"Replace back camera",8500
,,,,,,1936,"Replace earspeaker",8500
,,,,,,1937,"Replace speaker",8500
,,,,,,1938,"Replace fingerprintscanner",8500
,,,,,,1939,"Replace powerbutton",8500
,,,,,,1940,"Replace volumebuttons",8500
,,,,,,1941,"Replace vibration motor",8500
,,,,,,1942,"Replace audiojack",8500
,,,,,,1943,"Replace charging port	",8500
,,,,,,1944,"Replace battery",8500
,,,,532,"select multiple option",1945,"Option 1",12
,,,,,,1946,"Option 2",14
,,,,,,1947,"Option 3",16
,,,,533,"This is drop down",1948,"Option 1",12
,,,,,,1949,"Option 2",15
22,20180217061307.png,"iPad Pro 10.5",0,534,"iPhone X Repair Options",1950,"Front Display Screen Replacement",399
,,,,,,1951,"Back Glass Replacement",499
,,,,,,1952,"Battery Replacement",199
,,,,,,1953,"Multiple Issues",0
