Model_ID,Brand,Model_Title,Device,Model_Price,Field_ID,Field_Title,Field_Item_ID,Field_Item_Title,Field_Item_Price
1,Apple,"iPhone X - A1865 A1901 A1902",iPhone,10000,1291,"battery replacement",3750,"Option 1",11
,,,,,,,3751,"option 2",20
,,,,,,,3752,"option 3",0
,,,,,1292,"iPhone X Repair Options",3753,"Front Display Screen Replacement",355
,,,,,,,3754,"Battery Replacement",199
,,,,,,,3755,"Multiple Issues",0
,,,,,,,3756,"Water Damage Diagnose",0
,,,,,,,3757,dfsdfsd,12
,,,,,,,3758,"Back Glass Replacement",499
,,,,,1293,Checkboxes,3759,"Option 1",10
,,,,,,,3760,"Option 2",15
,,,,,,,3761,"Option 3",20
,,,,,1294,"What color is your iPhone X?",3762,Gold,0
,,,,,,,3763,Silver,0
,,,,,,,3764,"Space Grey",0
,,,,,1297,"radio 2",3765,"Option 1",2
,,,,,,,3766,"Option 2",3
,,,,,1298,drodown,3767,"test 1",20.5
,,,,,,,3768,"test 2",60.69
20,Apple,"iPhone 8 Plus A1864 A1897 A1898",iPhone,100,529,"iPhone 8+ repair",1918,"Screen broken and/or LCD defective",99
,,,,,,,1919,"Replace backcover",99
,,,,,,,1920,"Replace dock connector (charge/microphone)",99
,,,,,,,1921,"Replace earspeaker",99
,,,,,,,1922,"Replace speaker",99
,,,,,,,1923,"Replace home button",99
,,,,,,,1924,"Replace button (power, volume, mute)",99
,,,,,,,1925,"Replace camera front",99
,,,,,,,1926,"Replace camera back",99
,,,,,,,1927,"Replace vibration motor",99
,,,,,,,1928,"Replace battery",99
,,,,,530,"What color is your iPhone 8+?",1929,"Space Grey",0
,,,,,,,1930,Silver,0
,,,,,,,1931,Gold,0
21,Samsung,"Galaxy S8+","Galaxy S Series",0,531,"Selection One Option",1932,"Screen broken and/or LCD defective",3900
,,,,,,,1933,"Replace backcover",8500
,,,,,,,1934,"Replace front camera",8500
,,,,,,,1935,"Replace back camera",8500
,,,,,,,1936,"Replace earspeaker",8500
,,,,,,,1937,"Replace speaker",8500
,,,,,,,1938,"Replace fingerprintscanner",8500
,,,,,,,1939,"Replace powerbutton",8500
,,,,,,,1940,"Replace volumebuttons",8500
,,,,,,,1941,"Replace vibration motor",8500
,,,,,,,1942,"Replace audiojack",8500
,,,,,,,1943,"Replace charging port	",8500
,,,,,,,1944,"Replace battery",8500
,,,,,532,"select multiple option",1945,"Option 1",12
,,,,,,,1946,"Option 2",14
,,,,,,,1947,"Option 3",16
,,,,,533,"This is drop down",1948,"Option 1",12
,,,,,,,1949,"Option 2",15
22,Apple,"iPad Pro 10.5",iPad,0,534,"iPhone X Repair Options",1950,"Front Display Screen Replacement",399
,,,,,,,1951,"Back Glass Replacement",499
,,,,,,,1952,"Battery Replacement",199
,,,,,,,1953,"Multiple Issues",0
,,,,,,,1954,"Water Damage Diagnose",0
,,,,,535,"What color is your iPhone X?",1955,Gold,0
,,,,,,,1956,Silver,0
,,,,,,,1957,"Space Grey",0
23,Apple,"iPad Pro 12.9",iPad,0,536,"iPhone X Repair Options",1958,"Front Display Screen Replacement",399
,,,,,,,1959,"Back Glass Replacement",499
,,,,,,,1960,"Battery Replacement",199
,,,,,,,1961,"Multiple Issues",0
,,,,,,,1962,"Water Damage Diagnose",0
,,,,,537,"What color is your iPhone X?",1963,Gold,0
,,,,,,,1964,Silver,0
,,,,,,,1965,"Space Grey",0
24,Apple,"iPad 4",iPad,0,538,"iPad 4 repair",1966,"Screen broken or touch defective",9900
,,,,,,,1967,"Replace LCD",12900
,,,,,,,1968,"Replace back cover",14000
,,,,,,,1969,Microphone,9900
,,,,,,,1970,Speaker,9900
,,,,,,,1971,"Wifi reception",9900
,,,,,,,1972,"Audio jack",9900
,,,,,,,1973,"Dock connector (charge)",9900
,,,,,,,1974,"Replace button (power, home, volume, mute)",9900
,,,,,,,1975,"Replace camera front",9900
,,,,,,,1976,"Replace camera back",9900
,,,,,,,1977,"Replace battery",9900
25,Apple,"iPhone 8 A1863 A1905 A1906",iPhone,0,539,"iPhone X Repair Options",1978,"Front Display Screen Replacement",399
,,,,,,,1979,"Back Glass Replacement",499
,,,,,,,1980,"Battery Replacement",199
,,,,,,,1981,"Multiple Issues",0
,,,,,,,1982,"Water Damage Diagnose",0
,,,,,540,"What color is your iPhone X?",1983,Gold,0
,,,,,,,1984,Silver,0
,,,,,,,1985,"Space Grey",0
26,Apple,"iPhone 7 Plus A1661 A1784 A1785",iPhone,0,541,"iPhone X Repair Options",1986,"Front Display Screen Replacement",399
,,,,,,,1987,"Back Glass Replacement",499
,,,,,,,1988,"Battery Replacement",199
,,,,,,,1989,"Multiple Issues",0
,,,,,,,1990,"Water Damage Diagnose",0
,,,,,542,"What color is your iPhone X?",1991,Gold,0
,,,,,,,1992,Silver,0
,,,,,,,1993,"Space Grey",0
27,Apple,"iPhone 7 A1660 A1778 A1779",iPhone,0,543,"iPhone X Repair Options",1994,"Front Display Screen Replacement",399
,,,,,,,1995,"Back Glass Replacement",499
,,,,,,,1996,"Battery Replacement",199
,,,,,,,1997,"Multiple Issues",0
,,,,,,,1998,"Water Damage Diagnose",0
,,,,,544,"What color is your iPhone X?",1999,Gold,0
,,,,,,,2000,Silver,0
,,,,,,,2001,"Space Grey",0
28,Apple,"iPhone 6S Plus A1634 A1687 A1699",iPhone,0,545,"iPhone X Repair Options",2002,"Front Display Screen Replacement",399
,,,,,,,2003,"Back Glass Replacement",499
,,,,,,,2004,"Battery Replacement",199
,,,,,,,2005,"Multiple Issues",0
,,,,,,,2006,"Water Damage Diagnose",0
,,,,,546,"What color is your iPhone X?",2007,Gold,0
,,,,,,,2008,Silver,0
,,,,,,,2009,"Space Grey",0
29,Apple,"iPhone 6S - A1633 A1688 A1700",iPhone,0,547,"iPhone X Repair Options",2010,"Front Display Screen Replacement",399
,,,,,,,2011,"Back Glass Replacement",499
,,,,,,,2012,"Battery Replacement",199
,,,,,,,2013,"Multiple Issues",0
,,,,,,,2014,"Water Damage Diagnose",0
,,,,,548,"What color is your iPhone X?",2015,Gold,0
,,,,,,,2016,Silver,0
,,,,,,,2017,"Space Grey",0
30,Apple,"iPhone 6 - A1549 A1586 A1589 ",iPhone,0,549,"iPhone X Repair Options",2018,"Front Display Screen Replacement",399
,,,,,,,2019,"Back Glass Replacement",499
,,,,,,,2020,"Battery Replacement",199
,,,,,,,2021,"Multiple Issues",0
,,,,,,,2022,"Water Damage Diagnose",0
,,,,,550,"What color is your iPhone X?",2023,Gold,0
,,,,,,,2024,Silver,0
,,,,,,,2025,"Space Grey",0
31,Apple,"iPhone 6 Plus - A1522 A1524 A1593",iPhone,0,1277,"iPhone X Repair Options",3698,"Front Display Screen Replacement",399
,,,,,,,3699,"Back Glass Replacement",499
,,,,,,,3700,"Battery Replacement",199
,,,,,,,3701,"Multiple Issues",0
,,,,,,,3702,"Water Damage Diagnose",0
,,,,,1278,"What color is your iPhone X?",3703,Gold,0
,,,,,,,3704,Silver,0
,,,,,,,3705,"Space Grey",0
,,,,,1279,Checkboxes,3706,"Option 1",10
,,,,,,,3707,"Option 2",20
,,,,,1280,Radio,3708,"Option 1",10
,,,,,,,3709,"Option 2",20
32,Apple,"iPhone 5SE - A1662 A1726 A1724",iPhone,0,1275,"iPhone X Repair Options",3690,"Front Display Screen Replacement",399
,,,,,,,3691,"Back Glass Replacement",499
,,,,,,,3692,"Battery Replacement",199
,,,,,,,3693,"Multiple Issues",0
,,,,,,,3694,"Water Damage Diagnose",0
,,,,,1276,"What color is your iPhone X?",3695,Gold,0
,,,,,,,3696,Silver,0
,,,,,,,3697,"Space Grey",0
33,Apple,"iPhone 5S Repair - A1533 A1453",iPhone,0,1289,"iPhone X Repair Options",3742,"Front Display Screen Replacement",399
,,,,,,,3743,"Back Glass Replacement",499
,,,,,,,3744,"Battery Replacement",199
,,,,,,,3745,"Multiple Issues",0
,,,,,,,3746,"Water Damage Diagnose",0
,,,,,1290,"What color is your iPhone X?",3747,Gold,0
,,,,,,,3748,Silver,0
,,,,,,,3749,"Space Grey",0
34,Apple,"iPhone 5C - A1532 A1456",iPhone,0,557,"iPhone X Repair Options",2050,"Front Display Screen Replacement",399
,,,,,,,2051,"Back Glass Replacement",499
,,,,,,,2052,"Battery Replacement",199
,,,,,,,2053,"Multiple Issues",0
,,,,,,,2054,"Water Damage Diagnose",0
,,,,,558,"What color is your iPhone X?",2055,Gold,0
,,,,,,,2056,Silver,0
,,,,,,,2057,"Space Grey",0
35,Apple,"iPhone 5 - A1428 A1429",iPhone,0,971,"iPhone X Repair Options",3053,"Front Display Screen Replacement",399
,,,,,,,3054,"Back Glass Replacement",499
,,,,,,,3055,"Battery Replacement",199
,,,,,,,3056,"Multiple Issues",0
,,,,,,,3057,"Water Damage Diagnose",0
,,,,,972,"What color is your iPhone X?",3058,Gold,0
,,,,,,,3059,Silver,0
,,,,,,,3060,"Space Grey",0
36,Apple,"iPhone 4S - A1387",iPhone,0,908,"iPhone X Repair Options",2905,"Front Display Screen Replacement",399
,,,,,,,2906,"Back Glass Replacement",499
