Model_ID,Title,Sef_Url,Meta_Title,Meta_Keywords,Meta_Description,Meta_Canonical_URL
1,"iPhone 6 Repair",iphone-repairs,"iPhone 6 Repair","iPhone 6 Repair","iPhone 6 Repair",
2,"iPhone 6S Repair",iphone-repairs,"iPhone 6S Repair","iPhone 6S Repair","iPhone 6S Repair",
3,"iPhone 11 Pro Repair",iphone-repairs,"iPhone 11 Pro Repair","iPhone 11 Pro Repair","iPhone 11 Pro Repair",
4,"All Other Models",iphone-repairs,"All Other Models","All Other Models","All Other Models",
5,"Sony Xperia XZ Repair",sony-xperia-repair,"Sony Xperia XZ Repair","Sony Xperia XZ Repair","Sony Xperia XZ Repair",
6,"Sony Xperia XZ Premium Repair",sony-xperia-repair,"Sony Xperia XZ Premium Repair","Sony Xperia XZ Premium Repair","Sony Xperia XZ Premium Repair",
7,"HTC One X Repair",one-series-repair,"HTC One X Repair","HTC One X Repair","HTC One X Repair",
8,"HTC One XL Repair",one-series-repair,"HTC One XL Repair","HTC One XL Repair","HTC One XL Repair",
9,"Samsung Galaxy S20+ Repair",samsung-galaxy-repair,"Samsung Galaxy S20+ Repair","Samsung Galaxy S20+ Repair","Samsung Galaxy S20+ Repair",
10,"HTC One X+ Repair",one-series-repair,"HTC One X+ Repair","HTC One X+ Repair","HTC One X+ Repair",
11,"Samsung Tab P1000 Repair",samsung-tab-repair,"Samsung Tab P1000 Repair","Samsung Tab P1000 Repair","Samsung Tab P1000 Repair",
12,"iPod Nano 6th Gen Repair",ipod-repairs,"iPod Nano 6th Gen Repair","iPod Nano 6th Gen Repair","iPod Nano 6th Gen Repair",
13,"Samsung Galaxy On7 Repair",galaxy-series-repair-continued,"Samsung Galaxy On7 Repair","Samsung Galaxy On7 Repair","Samsung Galaxy On7 Repair",
14,"Samsung Galaxy J7 2016 Repair",galaxy-series-repair-continued,"Samsung Galaxy J7 2016 Repair","Samsung Galaxy J7 2016 Repair","Samsung Galaxy J7 2016 Repair",
15,"HTC Desire 816 Repair",desire-repair,"HTC Desire 816 Repair","HTC Desire 816 Repair","HTC Desire 816 Repair",
16,"HTC Desire Eye Repair",desire-repair,"HTC Desire Eye Repair","HTC Desire Eye Repair","HTC Desire Eye Repair",
17,"Samsung Galaxy Mega 6.3"" I9205 Repair",galaxy-series-repair-continued,"Samsung Galaxy Mega 6.3"" I9205 Repair","Samsung Galaxy Mega 6.3"" I9205 Repair","Samsung Galaxy Mega 6.3"" I9205 Repair",
